,subject,variable,value,hypothesis,questions_label,dillan_hyp_rate,chiaki_hyp_rate,comments
0,0,Timestamp,12/19/2023 18:59,,time,,,
1,1,Timestamp,12/19/2023 21:44,,time,,,
2,2,Timestamp,12/20/2023 9:55,,time,,,
3,3,Timestamp,12/20/2023 10:32,,time,,,
4,4,Timestamp,12/20/2023 10:35,,time,,,
5,5,Timestamp,12/21/2023 4:47,,time,,,
6,6,Timestamp,12/22/2023 13:43,,time,,,
7,7,Timestamp,12/27/2023 8:45,,time,,,
8,8,Timestamp,1/2/2024 12:33,,time,,,
9,9,Timestamp,1/2/2024 13:13,,time,,,
10,10,Timestamp,1/2/2024 13:16,,time,,,
11,11,Timestamp,1/2/2024 13:32,,time,,,
12,12,Timestamp,1/2/2024 14:01,,time,,,
13,13,Timestamp,1/2/2024 15:44,,time,,,
14,14,Timestamp,1/2/2024 15:58,,time,,,
15,15,Timestamp,1/2/2024 16:19,,time,,,
16,16,Timestamp,1/2/2024 16:29,,time,,,
17,17,Timestamp,1/2/2024 19:36,,time,,,
18,18,Timestamp,1/3/2024 0:02,,time,,,
19,19,Timestamp,1/3/2024 7:49,,time,,,
20,20,Timestamp,1/3/2024 11:35,,time,,,
21,21,Timestamp,1/4/2024 11:33,,time,,,
22,22,Timestamp,1/8/2024 22:20,,time,,,
23,23,Timestamp,1/8/2024 22:21,,time,,,
360,0,Any other comments/questions? :),Love you Dill,,o,,,
361,1,Any other comments/questions? :),,,o,,,
362,2,Any other comments/questions? :),,,o,,,
363,3,Any other comments/questions? :),Badass survey!,,o,,,
364,4,Any other comments/questions? :),,,o,,,
365,5,Any other comments/questions? :),This was a cool critical thinking exercise for me. 🤯 ,,o,,,
366,6,Any other comments/questions? :),,,o,,,
367,7,Any other comments/questions? :),Thanks for creating this survey! It is very introspective. :),,o,,,
368,8,Any other comments/questions? :),,,o,,,
369,9,Any other comments/questions? :),,,o,,,
370,10,Any other comments/questions? :),,,o,,,
371,11,Any other comments/questions? :),Had trouble with the word “reality” and “true” in the same statement since they inherently conflict.,,o,,,
372,12,Any other comments/questions? :),,,o,,,
373,13,Any other comments/questions? :),Good luck exploiting the results ! Hope you find something interesting ,,o,,,
374,14,Any other comments/questions? :),,,o,,,
375,15,Any other comments/questions? :),,,o,,,
376,16,Any other comments/questions? :),,,o,,,
377,17,Any other comments/questions? :),,,o,,,
378,18,Any other comments/questions? :),,,o,,,
379,19,Any other comments/questions? :),,,o,,,
380,20,Any other comments/questions? :),This was so fun! Thanks for the brain break in my work day!,,o,,,
381,21,Any other comments/questions? :),this is fun to think about. Good luck!,,o,,,
382,22,Any other comments/questions? :),"Thank you. I had fun with the mental exercise. Now, back to reality. ",,o,,,
383,23,Any other comments/questions? :),"I truly hope I made sense. My responses are over broad and maybe vague. But clear in my own head, yet hard to truly articulate ",,o,,,
336,0,How close do you think your perceptions are to a true reality? Please describe this in as few or as many words as you like.,100% true reality because the meaning of life doesn’t exist without us here to question it,,n,1,3,
337,1,How close do you think your perceptions are to a true reality? Please describe this in as few or as many words as you like.,,,n,,,
338,2,How close do you think your perceptions are to a true reality? Please describe this in as few or as many words as you like.,There is no true reality. Everything is filtered through our perceptions.,,n,1,1,
339,3,How close do you think your perceptions are to a true reality? Please describe this in as few or as many words as you like.,"Reality is subjective, however according to the generally accepted societal reality j find that my perceptions are relatively on track with reality. ",,n,1,1,
340,4,How close do you think your perceptions are to a true reality? Please describe this in as few or as many words as you like.,"I have no idea. It is incredible how much people agree on what is going on is the physical reality we inhabit with all the sensory noise going on (because the brain is an incredible thing), and yet there is interesting work from people like Donald Hoffman suggesting that our perceptions are likely to be far from approximations of an objective reality. Given this uncertainty, I think epistemic humility and continued willingness to test one's ideas against new data/evidence are paramount. ",,n,2,1,
341,5,How close do you think your perceptions are to a true reality? Please describe this in as few or as many words as you like.,I couldn’t even begin to know.  ,,n,2,2,
342,6,How close do you think your perceptions are to a true reality? Please describe this in as few or as many words as you like.,"Very, very, very far. But still useful in the ways they can predict the consequences of my actions. ",,n,2,2,
343,7,How close do you think your perceptions are to a true reality? Please describe this in as few or as many words as you like.,"My perception of reality is mine, and it is True in my eyes. It is as True as someone else's perception of their reality is True, even if that perception itself is entirely different. These perceptions are so deterministic by the environment you're in, they're bound to be wildly different. There is no single 'True' reality, everything is just what you perceive of it.",,n,1,1,
344,8,How close do you think your perceptions are to a true reality? Please describe this in as few or as many words as you like.,Impossible to determine,,n,2,2,
345,9,How close do you think your perceptions are to a true reality? Please describe this in as few or as many words as you like.,Perceptions are subjective ,,n,1,2,
346,10,How close do you think your perceptions are to a true reality? Please describe this in as few or as many words as you like.,,,n,,,
347,11,How close do you think your perceptions are to a true reality? Please describe this in as few or as many words as you like.,90% of what my mind Can reason in a reasonable time frame. Unsure what a “true” reality is as I think of “reality” as an individual’s point of view colored by shared experience. ,,n,1,3,
348,12,How close do you think your perceptions are to a true reality? Please describe this in as few or as many words as you like.,,,n,,,
349,13,How close do you think your perceptions are to a true reality? Please describe this in as few or as many words as you like.,"Closer than some due to the breadth of experiences and knowledge I have. Further than dome, for the exact same reason.",,n,2,2,
350,14,How close do you think your perceptions are to a true reality? Please describe this in as few or as many words as you like.,,,n,,,
351,15,How close do you think your perceptions are to a true reality? Please describe this in as few or as many words as you like.,,,n,,,
352,16,How close do you think your perceptions are to a true reality? Please describe this in as few or as many words as you like.,No clue. I think its a mystery of human life. ,,n,2,1,
353,17,How close do you think your perceptions are to a true reality? Please describe this in as few or as many words as you like.,Far from it. I mean our senses are sooooo limited in terms of signals that are present in the universe,,n,2,2,
354,18,How close do you think your perceptions are to a true reality? Please describe this in as few or as many words as you like.,"In light of all the above, I wish I could say that, consistently, I don’t consider my perceptions close to a true reality but, truthfully, I tend to think my understanding is correct, sometimes even my understanding of others’ perceptions. In social situations, however, I sometimes have strong doubts of my own perception and trust other people’s interpretation more than my own. Overall, I’d say my level of trust is quite variable and based on utilitarian considerations.",,n,1,1,
355,19,How close do you think your perceptions are to a true reality? Please describe this in as few or as many words as you like.,,,n,,,
356,20,How close do you think your perceptions are to a true reality? Please describe this in as few or as many words as you like.,Fairly close. I like to use therapists and closely trusted loved ones to check myself regularly.,,n,1,1,
357,21,How close do you think your perceptions are to a true reality? Please describe this in as few or as many words as you like.,"As per my previous answer, I think my perception of true reality is pretty close, as long as science is true. ",,n,1,3,ambiguous
358,22,How close do you think your perceptions are to a true reality? Please describe this in as few or as many words as you like.,"I believe simplistically that my perception is as close to a true reality as my limited brain capacity will allow. Reality, being family, friends, pain, love, happiness and aging ",,n,1,1,ambiguous
359,23,How close do you think your perceptions are to a true reality? Please describe this in as few or as many words as you like.,I think I’m objective in view of people and the world. even if my experiences In life cause me to be subjective I still see things objectively ,,n,2,3,ambiguous -- delulu
312,0,How do you reconcile differences in perception of reality with others?,Open communication with zero room for judgment ,,m,1,1,
313,1,How do you reconcile differences in perception of reality with others?,,,m,,,
314,2,How do you reconcile differences in perception of reality with others?,"I have learned to trust myself and act on my perception of reality. Even if that does not align with others. When someone else is involved, I try to take their perception of the situation into account and meet them partway. ",,m,1,2,
315,3,How do you reconcile differences in perception of reality with others?,"Compromising, accepting that others do not possess the same beliefs as I do ",,m,1,2,
316,4,How do you reconcile differences in perception of reality with others?,"It depends entirely on what sort of reality you are taking about. How to reconcile differences in perception of social situations is very different than physical events out in the world, not because they are different realities but because the necessary hypothesis-testing is more difficult in one case or another.",,m,2,2,highlighting subjectivity struggle of hyp 2
317,5,How do you reconcile differences in perception of reality with others?,I don’t find the need to reconcile differences. It is their perception and they are entitled to it.,,m,1,1,
318,6,How do you reconcile differences in perception of reality with others?,"It depends. Why do I need to reconcile these differences? Does it affect my material reality? Are there obvious internal inconsistencies? If there aren't obvious internal inconsistencies, I have no need to reconcile. If there are, I might point them out; maybe they will explain things in such a way that my perception changes. ",,m,1,1,Calling out the need for consistency
319,7,How do you reconcile differences in perception of reality with others?,Agreeing to disagree (within the limits of general moral truths). ,,m,1,1,
320,8,How do you reconcile differences in perception of reality with others?,"Tends to not be relevant, in general my own perception is weighted higher than others'",,m,3,3,No need for consistency
321,9,How do you reconcile differences in perception of reality with others?,Seek for common ground and evaluate surrounding areas,,m,1,2,
322,10,How do you reconcile differences in perception of reality with others?,,,m,,,
323,11,How do you reconcile differences in perception of reality with others?,"I attempt one of two extremes, 1) I qualify their statements in the context of a logic problem, 2) I falsely agree and double down with their statement by including extreme commentary that aligns with their perception, but is obviously false, ex; her hair is red or auburn, I say it is literally the color of blood as if she just left the set of Carrie (hyperbole - obviously). Number 2 has been useful to me when I want to encourage a reframing on a point of dissagreement.",,m,2,2,
324,12,How do you reconcile differences in perception of reality with others?,,,m,,,
325,13,How do you reconcile differences in perception of reality with others?,Basic biological machinery and difference of experience.,,m,1,2,
326,14,How do you reconcile differences in perception of reality with others?,,,m,,,
327,15,How do you reconcile differences in perception of reality with others?,,,m,,,
328,16,How do you reconcile differences in perception of reality with others?,Share and let us each marinate on it. don’t push it. ,,m,2,2,
329,17,How do you reconcile differences in perception of reality with others?,,,m,,,
330,18,How do you reconcile differences in perception of reality with others?,I try to retrace the reasoning and information that can explain their point of view. Sometimes I get lost in the other’s perspective over mine.,,m,1,2.5,interesting -- getting lost in others
331,19,How do you reconcile differences in perception of reality with others?,,,m,,,
332,20,How do you reconcile differences in perception of reality with others?,Their mind is wired differently. ,,m,2,1,
333,21,How do you reconcile differences in perception of reality with others?,"In the end, non-trivial subjects don't matter whether I agree or disagree with others. You belief in aliens, and I don't? Doesn't matter, we can still live together without those different perceptions of reality interfering in other parts of our lifes. You think life starts at conception and abortion is murder, you need to back of and don't infringe on other peoples autonomy. I pick my battles carefully (these were just examples). ",,m,1,1,pragmatic/nihilist?
334,22,How do you reconcile differences in perception of reality with others?,"I don’t. Trying to change a person’s perspective on something as abstract as reality perception is futile.  Besides, how can you be sure  they are wrong and you are right? ",,m,2,1,
335,23,How do you reconcile differences in perception of reality with others?,I allow people to have their own perceptions. Perception is realty in each individual’s experience. I respect that perception is personal and should not be challenged but only embraced. Everyone has a right to their opinions and perceptions… I love that about  humans ,,m,1,2,
288,0,Please describe (in as few or as many words as you like) how you think about your own beliefs of the world. This is purposefully open ended.,"I think my beliefs can affect other people if I allow them to. Sometimes that is beneficial, sometimes that is not. ",,l,2,3,
289,1,Please describe (in as few or as many words as you like) how you think about your own beliefs of the world. This is purposefully open ended.,,,l,,,
290,2,Please describe (in as few or as many words as you like) how you think about your own beliefs of the world. This is purposefully open ended.,Oh boy I don’t have time to fully answer this but there are some core concepts. One is that I cannot control other people (how they feel or what they do). Another is that I must take time to understand myself so that I can exert control of myself that is in-line with my core self. ,,l,1,1,"""core self"""
291,3,Please describe (in as few or as many words as you like) how you think about your own beliefs of the world. This is purposefully open ended.,"I find my beliefs about the world to be derived from my experiences of and education about the world. Before I form an opinion about something I always try my best to be informed about it. Sometimes, I will form beliefs based on a gut feeling. ",,l,2,2,
292,4,Please describe (in as few or as many words as you like) how you think about your own beliefs of the world. This is purposefully open ended.,"I think of my beliefs as views I've built up over time through moment-to-moment perceptions and interactions with a physical reality, some of which may too firmly held and not sufficiently vetted.",,l,2,2,imperfect sampling of reality
293,5,Please describe (in as few or as many words as you like) how you think about your own beliefs of the world. This is purposefully open ended.,"I believe my views and PERCEPTION of reality are base upon my life experiences as well as others experiences I have read about or witnessed. Because of this I only have a small glimpse of all reality. Reality is ever evolving based on the actions of others and occurrence of things across the universe. Just because my perceived reality is true does not mean that someone else’s perceived reality is false, it just means we have experienced differs parts of reality.  But TRUE REALITY is and always will be. The more experiences I have, the more I learn about reality.",,l,2,2,direct support for 1
294,6,Please describe (in as few or as many words as you like) how you think about your own beliefs of the world. This is purposefully open ended.,"My beliefs are my beliefs. I ""think"" they are good and valid. I actually according to them. At the same time, I know that they are fundamentally based on assumption, and internal consistency is a the closest I can get to truth. ",,l,2,2,
295,7,Please describe (in as few or as many words as you like) how you think about your own beliefs of the world. This is purposefully open ended.,"My beliefs are entirely emergent from a strong moral compass, which is based in principles that I think of as generally true, that are based in non-discrimination and justice. For the longest time, I was a 'apolitical' spineless centrist, with a shallow rhetoric of what feminism is. It is only when I was in the right environment that my biases and beliefs were challenged, and I built a political world view from scratch. I think of my beliefs about the world as a critical life-changing work that is my duty as a citizen of this world.
My beliefs are liberating, feminist, scientific and evidence-based, but also derived from revolutionary love. They're personally healing as much as they are angry at the state of the world. They're deeply interlinked with my womanhood. ",,l,1,2,
296,8,Please describe (in as few or as many words as you like) how you think about your own beliefs of the world. This is purposefully open ended.,"Fully instrumentalist, all models are incorrect, all perception is incorrect, and there is no ""correct"" way to sense either discrete quanta or the fields they distort.",,l,2,3,
297,9,Please describe (in as few or as many words as you like) how you think about your own beliefs of the world. This is purposefully open ended.,,,l,,,
298,10,Please describe (in as few or as many words as you like) how you think about your own beliefs of the world. This is purposefully open ended.,,,l,,,
299,11,Please describe (in as few or as many words as you like) how you think about your own beliefs of the world. This is purposefully open ended.,"To qualify my statements, I vocalize my positions in solid terms despite my investment being more or less scaled in said statements.

My beliefs are based on experiences, prior accounts that others share, recorded history, and my dreams.",,l,1,2,
300,12,Please describe (in as few or as many words as you like) how you think about your own beliefs of the world. This is purposefully open ended.,,,l,,,
301,13,Please describe (in as few or as many words as you like) how you think about your own beliefs of the world. This is purposefully open ended.,"Base on facts, build on logic, try to not get influenced by emotions, consider opposing views, factor in empathy for other points of view. Choose the one you want.",,l,2,1.5,ambiguous
302,14,Please describe (in as few or as many words as you like) how you think about your own beliefs of the world. This is purposefully open ended.,,,l,,,
303,15,Please describe (in as few or as many words as you like) how you think about your own beliefs of the world. This is purposefully open ended.,,,l,,,
304,16,Please describe (in as few or as many words as you like) how you think about your own beliefs of the world. This is purposefully open ended.,I believe I have a strong moral compass and that there are people to live in completely different realities than my own. ,,l,3,3,
305,17,Please describe (in as few or as many words as you like) how you think about your own beliefs of the world. This is purposefully open ended.,"I know my beliefs about the world are gathered from experience, whether that be interactions with my physical world, both internal (which i believe are rooted in physical phenomena such as subjective feelings, thoughts, attractions, drives etc) and external (senses). I believe my beliefs until there is sufficient evidence to the contrary",,l,2,2,
306,18,Please describe (in as few or as many words as you like) how you think about your own beliefs of the world. This is purposefully open ended.,"I am aware my point of view is biased and subjective. However, I have some strong beliefs that get stronger the more they seem to accommodate the coexistence of multiple truths.",,l,1,2,
307,19,Please describe (in as few or as many words as you like) how you think about your own beliefs of the world. This is purposefully open ended.,I think that my beliefs of the world are not necessarily common. I see the more in depth picture compared to most. ,,l,3,2,
308,20,Please describe (in as few or as many words as you like) how you think about your own beliefs of the world. This is purposefully open ended.,They are based on my personal experience on earth. ,,l,1,3,
309,21,Please describe (in as few or as many words as you like) how you think about your own beliefs of the world. This is purposefully open ended.,"I think my own beliefs of the world are grounded in science. From a young age I was always interested in understanding the world around me me microscopic scales to macroscopic. With concepts we don't know the truth of yet, I feel like I prefer the most logical/rational route",,l,2,2,
310,22,Please describe (in as few or as many words as you like) how you think about your own beliefs of the world. This is purposefully open ended.,"I am not extraordinary in any manner. I believe I am the same as the majority people who find ourselves in the middle of an extreme liberal left, and an extreme conservative right.  My beliefs are not going to change the course of the world by myself. But  because so many people think similarly,  the power of our numbers can make my simple belief's powerful and effective. ",,l,1,1.5,
311,23,Please describe (in as few or as many words as you like) how you think about your own beliefs of the world. This is purposefully open ended.,"I think about my own beliefs about the world is  that my beliefs are purposefully naive and ignorant, which I believe is good in some aspects and bad in other aspects. I read and learn about world events on a very cursory level which allows me to live in blissful ignorance much of the time. From politics to economics, crime rates and unemployment rates, interest rates to  the news of plummeting home sales, I find that how I think about my own beliefs of the world, is that my perspectives are based on very limited information, and my perception of realtor of the world as it is today is likely better than what it likely actually is. I think about my own beliefs as being a self preserving shield keeping me away from realities that will affect me even when I don’t want them to. I see my beliefs as ignorance equals bliss. Not healthy per se but it keeps me from being consumed with negativity ",,l,2,2,pragmatic/nihilist?
264,0,How do you distinguish between illusion and reality?,I don’t,,k,3,3,
265,1,How do you distinguish between illusion and reality?,,,k,,,
266,2,How do you distinguish between illusion and reality?,"I trust my gut and listen to the deeper, core part of myself that seems certain about most things",,k,3,3,
267,3,How do you distinguish between illusion and reality?,I don’t ! Is that even possible?,,k,2,3,
268,4,How do you distinguish between illusion and reality?,"I view my perception as a controlled hallucination that is constructed (amazingly) through the interactions of my moment-by-moment perceptions of a physical reality and ongoing brain activity. It is necessarily imperfect, but false conceptions of the reality should be borne out through humility and continual updating of beliefs (constructed from previous perceptions/brain states) with current perceptions/brain states.",,k,2,2,
269,5,How do you distinguish between illusion and reality?,Trust the experiences I have are real? ,,k,2,2,trust in the subjective sampling of objective reality
270,6,How do you distinguish between illusion and reality?,"Illusion is necessarily not real. It doesn't reflect whatever ""truth"" is. Some illusions, if sufficiently cross modal, are impossible to distinguish from truth. ",,k,2,2,
271,7,How do you distinguish between illusion and reality?,"you can't.
https://youtu.be/lyu7v7nWzfo?si=9k2wyNyF8FPTN3P_",,k,2,2,
272,8,How do you distinguish between illusion and reality?,Context,,k,1,2,
273,9,How do you distinguish between illusion and reality?,Look for objective measurable data or feedback  ,,k,2,2,
274,10,How do you distinguish between illusion and reality?,,,k,,,
275,11,How do you distinguish between illusion and reality?,"I gather evidence from my lived experience, prior accounts of similar experiences, and the environments response to the event.",,k,1,2,
276,12,How do you distinguish between illusion and reality?,,,k,,,
277,13,How do you distinguish between illusion and reality?,Prove the illusion or admit a probability of each option,,k,2,2,
278,14,How do you distinguish between illusion and reality?,,,k,,,
279,15,How do you distinguish between illusion and reality?,,,k,,,
280,16,How do you distinguish between illusion and reality?,What is tangible. What I have seen play out or experienced and has been corroborated by others. The more people who can corroborate the more solid it becomes. ,,k,1,2,
281,17,How do you distinguish between illusion and reality?,"Others endorsing a similar experience. Otherwise, I don't think we have any way to distinguish",,k,1,2,coherence theory
282,18,How do you distinguish between illusion and reality?,I try to consider as many points of view as possible.,,k,1,1,
283,19,How do you distinguish between illusion and reality?,Sometimes you cant. Other times I believe it’s just looking at something logically. ,,k,2,2,
284,20,How do you distinguish between illusion and reality?,"To be honest, gut feeling and societal norms. ",,k,1,2,
285,21,How do you distinguish between illusion and reality?,"I guess talking about it with other people. Knowing certain properties of the world and concepts we have verified using science/mathematics, even though illusions work because of how our sensory systems are organized",,k,2,2,
286,22,How do you distinguish between illusion and reality?,"Wouldn’t you have to be totally immersed in the now? Living every second in that exact moment. One minute ago is no longer reality. And one minute from now is just a hope, a dream. Where’s the reality, except in the moment. This is my way of saying, “I have no idea” ",,k,1,2,nothing is real except for the subjective experience
287,23,How do you distinguish between illusion and reality?,Clear vision of something and  corroborating statements by others confirming the same vision ,,k,1,,
240,0,"To what extent do you agree with the statement: ""Empathy is assigning a nonzero probability that another person's reality is Truth.""",8,1,j,,,
241,1,"To what extent do you agree with the statement: ""Empathy is assigning a nonzero probability that another person's reality is Truth.""",3,1,j,,,
242,2,"To what extent do you agree with the statement: ""Empathy is assigning a nonzero probability that another person's reality is Truth.""",4,1,j,,,
243,3,"To what extent do you agree with the statement: ""Empathy is assigning a nonzero probability that another person's reality is Truth.""",5,1,j,,,
244,4,"To what extent do you agree with the statement: ""Empathy is assigning a nonzero probability that another person's reality is Truth.""",2,1,j,,,
245,5,"To what extent do you agree with the statement: ""Empathy is assigning a nonzero probability that another person's reality is Truth.""",10,1,j,,,
246,6,"To what extent do you agree with the statement: ""Empathy is assigning a nonzero probability that another person's reality is Truth.""",7,1,j,,,
247,7,"To what extent do you agree with the statement: ""Empathy is assigning a nonzero probability that another person's reality is Truth.""",4,1,j,,,
248,8,"To what extent do you agree with the statement: ""Empathy is assigning a nonzero probability that another person's reality is Truth.""",1,1,j,,,
249,9,"To what extent do you agree with the statement: ""Empathy is assigning a nonzero probability that another person's reality is Truth.""",7,1,j,,,
250,10,"To what extent do you agree with the statement: ""Empathy is assigning a nonzero probability that another person's reality is Truth.""",,1,j,,,
251,11,"To what extent do you agree with the statement: ""Empathy is assigning a nonzero probability that another person's reality is Truth.""",1,1,j,,,
252,12,"To what extent do you agree with the statement: ""Empathy is assigning a nonzero probability that another person's reality is Truth.""",6,1,j,,,
253,13,"To what extent do you agree with the statement: ""Empathy is assigning a nonzero probability that another person's reality is Truth.""",1,1,j,,,
254,14,"To what extent do you agree with the statement: ""Empathy is assigning a nonzero probability that another person's reality is Truth.""",8,1,j,,,
255,15,"To what extent do you agree with the statement: ""Empathy is assigning a nonzero probability that another person's reality is Truth.""",,1,j,,,
256,16,"To what extent do you agree with the statement: ""Empathy is assigning a nonzero probability that another person's reality is Truth.""",,1,j,,,
257,17,"To what extent do you agree with the statement: ""Empathy is assigning a nonzero probability that another person's reality is Truth.""",4,1,j,,,
258,18,"To what extent do you agree with the statement: ""Empathy is assigning a nonzero probability that another person's reality is Truth.""",4,1,j,,,
259,19,"To what extent do you agree with the statement: ""Empathy is assigning a nonzero probability that another person's reality is Truth.""",5,1,j,,,
260,20,"To what extent do you agree with the statement: ""Empathy is assigning a nonzero probability that another person's reality is Truth.""",8,1,j,,,
261,21,"To what extent do you agree with the statement: ""Empathy is assigning a nonzero probability that another person's reality is Truth.""",8,1,j,,,
262,22,"To what extent do you agree with the statement: ""Empathy is assigning a nonzero probability that another person's reality is Truth.""",3,1,j,,,
263,23,"To what extent do you agree with the statement: ""Empathy is assigning a nonzero probability that another person's reality is Truth.""",2,1,j,,,
216,0,"To what extent do you agree with the statement: ""Future changes in perceptions of reality become closer to an objective Truth.""",6,2,i,,,
217,1,"To what extent do you agree with the statement: ""Future changes in perceptions of reality become closer to an objective Truth.""",8,2,i,,,
218,2,"To what extent do you agree with the statement: ""Future changes in perceptions of reality become closer to an objective Truth.""",2,2,i,,,
219,3,"To what extent do you agree with the statement: ""Future changes in perceptions of reality become closer to an objective Truth.""",3,2,i,,,
220,4,"To what extent do you agree with the statement: ""Future changes in perceptions of reality become closer to an objective Truth.""",6,2,i,,,
221,5,"To what extent do you agree with the statement: ""Future changes in perceptions of reality become closer to an objective Truth.""",3,2,i,,,
222,6,"To what extent do you agree with the statement: ""Future changes in perceptions of reality become closer to an objective Truth.""",4,2,i,,,
223,7,"To what extent do you agree with the statement: ""Future changes in perceptions of reality become closer to an objective Truth.""",,2,i,,,
224,8,"To what extent do you agree with the statement: ""Future changes in perceptions of reality become closer to an objective Truth.""",2,2,i,,,
225,9,"To what extent do you agree with the statement: ""Future changes in perceptions of reality become closer to an objective Truth.""",,2,i,,,
226,10,"To what extent do you agree with the statement: ""Future changes in perceptions of reality become closer to an objective Truth.""",6,2,i,,,
227,11,"To what extent do you agree with the statement: ""Future changes in perceptions of reality become closer to an objective Truth.""",1,2,i,,,
228,12,"To what extent do you agree with the statement: ""Future changes in perceptions of reality become closer to an objective Truth.""",6,2,i,,,
