,subject,variable,value,hypothesis,questions_label,dillan_hyp_rate,chiaki_hyp_rate,comments
229,13,"To what extent do you agree with the statement: ""Future changes in perceptions of reality become closer to an objective Truth.""",6,2,i,,,
230,14,"To what extent do you agree with the statement: ""Future changes in perceptions of reality become closer to an objective Truth.""",8,2,i,,,
231,15,"To what extent do you agree with the statement: ""Future changes in perceptions of reality become closer to an objective Truth.""",4,2,i,,,
232,16,"To what extent do you agree with the statement: ""Future changes in perceptions of reality become closer to an objective Truth.""",,2,i,,,
233,17,"To what extent do you agree with the statement: ""Future changes in perceptions of reality become closer to an objective Truth.""",7,2,i,,,
234,18,"To what extent do you agree with the statement: ""Future changes in perceptions of reality become closer to an objective Truth.""",1,2,i,,,
235,19,"To what extent do you agree with the statement: ""Future changes in perceptions of reality become closer to an objective Truth.""",7,2,i,,,
236,20,"To what extent do you agree with the statement: ""Future changes in perceptions of reality become closer to an objective Truth.""",3,2,i,,,
237,21,"To what extent do you agree with the statement: ""Future changes in perceptions of reality become closer to an objective Truth.""",10,2,i,,,
238,22,"To what extent do you agree with the statement: ""Future changes in perceptions of reality become closer to an objective Truth.""",3,2,i,,,
239,23,"To what extent do you agree with the statement: ""Future changes in perceptions of reality become closer to an objective Truth.""",7,2,i,,,
192,0,"To what extent do you agree with the statement: ""Ethical and moral truths exist independently of human beliefs.""",5,2,h,,,
193,1,"To what extent do you agree with the statement: ""Ethical and moral truths exist independently of human beliefs.""",9,2,h,,,
194,2,"To what extent do you agree with the statement: ""Ethical and moral truths exist independently of human beliefs.""",9,2,h,,,
195,3,"To what extent do you agree with the statement: ""Ethical and moral truths exist independently of human beliefs.""",4,2,h,,,
196,4,"To what extent do you agree with the statement: ""Ethical and moral truths exist independently of human beliefs.""",3,2,h,,,
197,5,"To what extent do you agree with the statement: ""Ethical and moral truths exist independently of human beliefs.""",10,2,h,,,
198,6,"To what extent do you agree with the statement: ""Ethical and moral truths exist independently of human beliefs.""",10,2,h,,,
199,7,"To what extent do you agree with the statement: ""Ethical and moral truths exist independently of human beliefs.""",1,2,h,,,
200,8,"To what extent do you agree with the statement: ""Ethical and moral truths exist independently of human beliefs.""",10,2,h,,,
201,9,"To what extent do you agree with the statement: ""Ethical and moral truths exist independently of human beliefs.""",10,2,h,,,
202,10,"To what extent do you agree with the statement: ""Ethical and moral truths exist independently of human beliefs.""",8,2,h,,,
203,11,"To what extent do you agree with the statement: ""Ethical and moral truths exist independently of human beliefs.""",4,2,h,,,
204,12,"To what extent do you agree with the statement: ""Ethical and moral truths exist independently of human beliefs.""",4,2,h,,,
205,13,"To what extent do you agree with the statement: ""Ethical and moral truths exist independently of human beliefs.""",10,2,h,,,
206,14,"To what extent do you agree with the statement: ""Ethical and moral truths exist independently of human beliefs.""",6,2,h,,,
207,15,"To what extent do you agree with the statement: ""Ethical and moral truths exist independently of human beliefs.""",7,2,h,,,
208,16,"To what extent do you agree with the statement: ""Ethical and moral truths exist independently of human beliefs.""",8,2,h,,,
209,17,"To what extent do you agree with the statement: ""Ethical and moral truths exist independently of human beliefs.""",7,2,h,,,
210,18,"To what extent do you agree with the statement: ""Ethical and moral truths exist independently of human beliefs.""",10,2,h,,,
211,19,"To what extent do you agree with the statement: ""Ethical and moral truths exist independently of human beliefs.""",1,2,h,,,
212,20,"To what extent do you agree with the statement: ""Ethical and moral truths exist independently of human beliefs.""",6,2,h,,,
213,21,"To what extent do you agree with the statement: ""Ethical and moral truths exist independently of human beliefs.""",2,2,h,,,
214,22,"To what extent do you agree with the statement: ""Ethical and moral truths exist independently of human beliefs.""",6,2,h,,,
215,23,"To what extent do you agree with the statement: ""Ethical and moral truths exist independently of human beliefs.""",8,2,h,,,
168,0,"To what extent do you agree with the statement: ""Other people's perceptions of the world are similar to mine.""",6,3,g,,,
169,1,"To what extent do you agree with the statement: ""Other people's perceptions of the world are similar to mine.""",6,3,g,,,
170,2,"To what extent do you agree with the statement: ""Other people's perceptions of the world are similar to mine.""",3,3,g,,,
171,3,"To what extent do you agree with the statement: ""Other people's perceptions of the world are similar to mine.""",4,3,g,,,
172,4,"To what extent do you agree with the statement: ""Other people's perceptions of the world are similar to mine.""",7,3,g,,,
173,5,"To what extent do you agree with the statement: ""Other people's perceptions of the world are similar to mine.""",5,3,g,,,
174,6,"To what extent do you agree with the statement: ""Other people's perceptions of the world are similar to mine.""",10,3,g,,,
175,7,"To what extent do you agree with the statement: ""Other people's perceptions of the world are similar to mine.""",2,3,g,,,
176,8,"To what extent do you agree with the statement: ""Other people's perceptions of the world are similar to mine.""",5,3,g,,,
177,9,"To what extent do you agree with the statement: ""Other people's perceptions of the world are similar to mine.""",5,3,g,,,
178,10,"To what extent do you agree with the statement: ""Other people's perceptions of the world are similar to mine.""",9,3,g,,,
179,11,"To what extent do you agree with the statement: ""Other people's perceptions of the world are similar to mine.""",1,3,g,,,
180,12,"To what extent do you agree with the statement: ""Other people's perceptions of the world are similar to mine.""",8,3,g,,,
181,13,"To what extent do you agree with the statement: ""Other people's perceptions of the world are similar to mine.""",5,3,g,,,
182,14,"To what extent do you agree with the statement: ""Other people's perceptions of the world are similar to mine.""",6,3,g,,,
183,15,"To what extent do you agree with the statement: ""Other people's perceptions of the world are similar to mine.""",5,3,g,,,
184,16,"To what extent do you agree with the statement: ""Other people's perceptions of the world are similar to mine.""",4,3,g,,,
185,17,"To what extent do you agree with the statement: ""Other people's perceptions of the world are similar to mine.""",7,3,g,,,
186,18,"To what extent do you agree with the statement: ""Other people's perceptions of the world are similar to mine.""",5,3,g,,,
187,19,"To what extent do you agree with the statement: ""Other people's perceptions of the world are similar to mine.""",5,3,g,,,
188,20,"To what extent do you agree with the statement: ""Other people's perceptions of the world are similar to mine.""",7,3,g,,,
189,21,"To what extent do you agree with the statement: ""Other people's perceptions of the world are similar to mine.""",7,3,g,,,
190,22,"To what extent do you agree with the statement: ""Other people's perceptions of the world are similar to mine.""",8,3,g,,,
191,23,"To what extent do you agree with the statement: ""Other people's perceptions of the world are similar to mine.""",6,3,g,,,
144,0,"To what extent do you agree with the statement: ""Things are True or Not True, and people's perspectives on whether something is True or Not True does not affect how True or Not True it is.""",5,2,f,,,
145,1,"To what extent do you agree with the statement: ""Things are True or Not True, and people's perspectives on whether something is True or Not True does not affect how True or Not True it is.""",7,2,f,,,
146,2,"To what extent do you agree with the statement: ""Things are True or Not True, and people's perspectives on whether something is True or Not True does not affect how True or Not True it is.""",8,2,f,,,
147,3,"To what extent do you agree with the statement: ""Things are True or Not True, and people's perspectives on whether something is True or Not True does not affect how True or Not True it is.""",1,2,f,,,
148,4,"To what extent do you agree with the statement: ""Things are True or Not True, and people's perspectives on whether something is True or Not True does not affect how True or Not True it is.""",5,2,f,,,
149,5,"To what extent do you agree with the statement: ""Things are True or Not True, and people's perspectives on whether something is True or Not True does not affect how True or Not True it is.""",10,2,f,,,
150,6,"To what extent do you agree with the statement: ""Things are True or Not True, and people's perspectives on whether something is True or Not True does not affect how True or Not True it is.""",5,2,f,,,
151,7,"To what extent do you agree with the statement: ""Things are True or Not True, and people's perspectives on whether something is True or Not True does not affect how True or Not True it is.""",10,2,f,,,
152,8,"To what extent do you agree with the statement: ""Things are True or Not True, and people's perspectives on whether something is True or Not True does not affect how True or Not True it is.""",1,2,f,,,
153,9,"To what extent do you agree with the statement: ""Things are True or Not True, and people's perspectives on whether something is True or Not True does not affect how True or Not True it is.""",10,2,f,,,
154,10,"To what extent do you agree with the statement: ""Things are True or Not True, and people's perspectives on whether something is True or Not True does not affect how True or Not True it is.""",10,2,f,,,
155,11,"To what extent do you agree with the statement: ""Things are True or Not True, and people's perspectives on whether something is True or Not True does not affect how True or Not True it is.""",7,2,f,,,
156,12,"To what extent do you agree with the statement: ""Things are True or Not True, and people's perspectives on whether something is True or Not True does not affect how True or Not True it is.""",7,2,f,,,
157,13,"To what extent do you agree with the statement: ""Things are True or Not True, and people's perspectives on whether something is True or Not True does not affect how True or Not True it is.""",8,2,f,,,
158,14,"To what extent do you agree with the statement: ""Things are True or Not True, and people's perspectives on whether something is True or Not True does not affect how True or Not True it is.""",6,2,f,,,
159,15,"To what extent do you agree with the statement: ""Things are True or Not True, and people's perspectives on whether something is True or Not True does not affect how True or Not True it is.""",4,2,f,,,
160,16,"To what extent do you agree with the statement: ""Things are True or Not True, and people's perspectives on whether something is True or Not True does not affect how True or Not True it is.""",6,2,f,,,
161,17,"To what extent do you agree with the statement: ""Things are True or Not True, and people's perspectives on whether something is True or Not True does not affect how True or Not True it is.""",7,2,f,,,
162,18,"To what extent do you agree with the statement: ""Things are True or Not True, and people's perspectives on whether something is True or Not True does not affect how True or Not True it is.""",3,2,f,,,
163,19,"To what extent do you agree with the statement: ""Things are True or Not True, and people's perspectives on whether something is True or Not True does not affect how True or Not True it is.""",10,2,f,,,
164,20,"To what extent do you agree with the statement: ""Things are True or Not True, and people's perspectives on whether something is True or Not True does not affect how True or Not True it is.""",4,2,f,,,
165,21,"To what extent do you agree with the statement: ""Things are True or Not True, and people's perspectives on whether something is True or Not True does not affect how True or Not True it is.""",8,2,f,,,
166,22,"To what extent do you agree with the statement: ""Things are True or Not True, and people's perspectives on whether something is True or Not True does not affect how True or Not True it is.""",10,2,f,,,
167,23,"To what extent do you agree with the statement: ""Things are True or Not True, and people's perspectives on whether something is True or Not True does not affect how True or Not True it is.""",9,2,f,,,
120,0,"To what extent do you agree with the statement: ""Reality is an objective truth to which I have imperfect access""?",3,2,e,,,
121,1,"To what extent do you agree with the statement: ""Reality is an objective truth to which I have imperfect access""?",3,2,e,,,
122,2,"To what extent do you agree with the statement: ""Reality is an objective truth to which I have imperfect access""?",5,2,e,,,
123,3,"To what extent do you agree with the statement: ""Reality is an objective truth to which I have imperfect access""?",8,2,e,,,
124,4,"To what extent do you agree with the statement: ""Reality is an objective truth to which I have imperfect access""?",10,2,e,,,
125,5,"To what extent do you agree with the statement: ""Reality is an objective truth to which I have imperfect access""?",10,2,e,,,
126,6,"To what extent do you agree with the statement: ""Reality is an objective truth to which I have imperfect access""?",10,2,e,,,
127,7,"To what extent do you agree with the statement: ""Reality is an objective truth to which I have imperfect access""?",10,2,e,,,
128,8,"To what extent do you agree with the statement: ""Reality is an objective truth to which I have imperfect access""?",1,2,e,,,
129,9,"To what extent do you agree with the statement: ""Reality is an objective truth to which I have imperfect access""?",10,2,e,,,
130,10,"To what extent do you agree with the statement: ""Reality is an objective truth to which I have imperfect access""?",9,2,e,,,
131,11,"To what extent do you agree with the statement: ""Reality is an objective truth to which I have imperfect access""?",4,2,e,,,
132,12,"To what extent do you agree with the statement: ""Reality is an objective truth to which I have imperfect access""?",6,2,e,,,
133,13,"To what extent do you agree with the statement: ""Reality is an objective truth to which I have imperfect access""?",10,2,e,,,
134,14,"To what extent do you agree with the statement: ""Reality is an objective truth to which I have imperfect access""?",7,2,e,,,
135,15,"To what extent do you agree with the statement: ""Reality is an objective truth to which I have imperfect access""?",,2,e,,,
136,16,"To what extent do you agree with the statement: ""Reality is an objective truth to which I have imperfect access""?",2,2,e,,,
137,17,"To what extent do you agree with the statement: ""Reality is an objective truth to which I have imperfect access""?",8,2,e,,,
138,18,"To what extent do you agree with the statement: ""Reality is an objective truth to which I have imperfect access""?",3,2,e,,,
139,19,"To what extent do you agree with the statement: ""Reality is an objective truth to which I have imperfect access""?",10,2,e,,,
140,20,"To what extent do you agree with the statement: ""Reality is an objective truth to which I have imperfect access""?",9,2,e,,,
141,21,"To what extent do you agree with the statement: ""Reality is an objective truth to which I have imperfect access""?",10,2,e,,,
142,22,"To what extent do you agree with the statement: ""Reality is an objective truth to which I have imperfect access""?",3,2,e,,,
143,23,"To what extent do you agree with the statement: ""Reality is an objective truth to which I have imperfect access""?",9,2,e,,,
96,0,"To what extent do you agree with the statement: ""Empathy for other people's point of view means acknowledging that their point of view is as true as my own.""",10,1,d,,,
97,1,"To what extent do you agree with the statement: ""Empathy for other people's point of view means acknowledging that their point of view is as true as my own.""",5,1,d,,,
98,2,"To what extent do you agree with the statement: ""Empathy for other people's point of view means acknowledging that their point of view is as true as my own.""",7,1,d,,,
99,3,"To what extent do you agree with the statement: ""Empathy for other people's point of view means acknowledging that their point of view is as true as my own.""",10,1,d,,,
100,4,"To what extent do you agree with the statement: ""Empathy for other people's point of view means acknowledging that their point of view is as true as my own.""",1,1,d,,,
101,5,"To what extent do you agree with the statement: ""Empathy for other people's point of view means acknowledging that their point of view is as true as my own.""",10,1,d,,,
102,6,"To what extent do you agree with the statement: ""Empathy for other people's point of view means acknowledging that their point of view is as true as my own.""",8,1,d,,,
103,7,"To what extent do you agree with the statement: ""Empathy for other people's point of view means acknowledging that their point of view is as true as my own.""",10,1,d,,,
104,8,"To what extent do you agree with the statement: ""Empathy for other people's point of view means acknowledging that their point of view is as true as my own.""",1,1,d,,,
105,9,"To what extent do you agree with the statement: ""Empathy for other people's point of view means acknowledging that their point of view is as true as my own.""",7,1,d,,,
106,10,"To what extent do you agree with the statement: ""Empathy for other people's point of view means acknowledging that their point of view is as true as my own.""",9,1,d,,,
107,11,"To what extent do you agree with the statement: ""Empathy for other people's point of view means acknowledging that their point of view is as true as my own.""",1,1,d,,,
108,12,"To what extent do you agree with the statement: ""Empathy for other people's point of view means acknowledging that their point of view is as true as my own.""",10,1,d,,,
109,13,"To what extent do you agree with the statement: ""Empathy for other people's point of view means acknowledging that their point of view is as true as my own.""",9,1,d,,,
110,14,"To what extent do you agree with the statement: ""Empathy for other people's point of view means acknowledging that their point of view is as true as my own.""",9,1,d,,,
111,15,"To what extent do you agree with the statement: ""Empathy for other people's point of view means acknowledging that their point of view is as true as my own.""",4,1,d,,,
112,16,"To what extent do you agree with the statement: ""Empathy for other people's point of view means acknowledging that their point of view is as true as my own.""",3,1,d,,,
113,17,"To what extent do you agree with the statement: ""Empathy for other people's point of view means acknowledging that their point of view is as true as my own.""",3,1,d,,,
114,18,"To what extent do you agree with the statement: ""Empathy for other people's point of view means acknowledging that their point of view is as true as my own.""",8,1,d,,,
115,19,"To what extent do you agree with the statement: ""Empathy for other people's point of view means acknowledging that their point of view is as true as my own.""",10,1,d,,,
116,20,"To what extent do you agree with the statement: ""Empathy for other people's point of view means acknowledging that their point of view is as true as my own.""",10,1,d,,,
117,21,"To what extent do you agree with the statement: ""Empathy for other people's point of view means acknowledging that their point of view is as true as my own.""",10,1,d,,,
118,22,"To what extent do you agree with the statement: ""Empathy for other people's point of view means acknowledging that their point of view is as true as my own.""",3,1,d,,,
119,23,"To what extent do you agree with the statement: ""Empathy for other people's point of view means acknowledging that their point of view is as true as my own.""",2,1,d,,,
72,0,"To what extent do you agree with the statement: ""If we had perfect measurements of the world around us, we could in theory know what was true (and therefore know reality).""",3,2,c,,,
73,1,"To what extent do you agree with the statement: ""If we had perfect measurements of the world around us, we could in theory know what was true (and therefore know reality).""",6,2,c,,,
74,2,"To what extent do you agree with the statement: ""If we had perfect measurements of the world around us, we could in theory know what was true (and therefore know reality).""",5,2,c,,,
75,3,"To what extent do you agree with the statement: ""If we had perfect measurements of the world around us, we could in theory know what was true (and therefore know reality).""",5,2,c,,,
76,4,"To what extent do you agree with the statement: ""If we had perfect measurements of the world around us, we could in theory know what was true (and therefore know reality).""",7,2,c,,,
77,5,"To what extent do you agree with the statement: ""If we had perfect measurements of the world around us, we could in theory know what was true (and therefore know reality).""",10,2,c,,,
78,6,"To what extent do you agree with the statement: ""If we had perfect measurements of the world around us, we could in theory know what was true (and therefore know reality).""",1,2,c,,,
79,7,"To what extent do you agree with the statement: ""If we had perfect measurements of the world around us, we could in theory know what was true (and therefore know reality).""",4,2,c,,,
80,8,"To what extent do you agree with the statement: ""If we had perfect measurements of the world around us, we could in theory know what was true (and therefore know reality).""",5,2,c,,,
81,9,"To what extent do you agree with the statement: ""If we had perfect measurements of the world around us, we could in theory know what was true (and therefore know reality).""",10,2,c,,,
82,10,"To what extent do you agree with the statement: ""If we had perfect measurements of the world around us, we could in theory know what was true (and therefore know reality).""",7,2,c,,,
83,11,"To what extent do you agree with the statement: ""If we had perfect measurements of the world around us, we could in theory know what was true (and therefore know reality).""",10,2,c,,,
84,12,"To what extent do you agree with the statement: ""If we had perfect measurements of the world around us, we could in theory know what was true (and therefore know reality).""",5,2,c,,,
85,13,"To what extent do you agree with the statement: ""If we had perfect measurements of the world around us, we could in theory know what was true (and therefore know reality).""",9,2,c,,,
86,14,"To what extent do you agree with the statement: ""If we had perfect measurements of the world around us, we could in theory know what was true (and therefore know reality).""",5,2,c,,,
87,15,"To what extent do you agree with the statement: ""If we had perfect measurements of the world around us, we could in theory know what was true (and therefore know reality).""",3,2,c,,,
88,16,"To what extent do you agree with the statement: ""If we had perfect measurements of the world around us, we could in theory know what was true (and therefore know reality).""",3,2,c,,,
89,17,"To what extent do you agree with the statement: ""If we had perfect measurements of the world around us, we could in theory know what was true (and therefore know reality).""",7,2,c,,,
90,18,"To what extent do you agree with the statement: ""If we had perfect measurements of the world around us, we could in theory know what was true (and therefore know reality).""",1,2,c,,,
91,19,"To what extent do you agree with the statement: ""If we had perfect measurements of the world around us, we could in theory know what was true (and therefore know reality).""",7,2,c,,,
92,20,"To what extent do you agree with the statement: ""If we had perfect measurements of the world around us, we could in theory know what was true (and therefore know reality).""",4,2,c,,,
93,21,"To what extent do you agree with the statement: ""If we had perfect measurements of the world around us, we could in theory know what was true (and therefore know reality).""",10,2,c,,,
94,22,"To what extent do you agree with the statement: ""If we had perfect measurements of the world around us, we could in theory know what was true (and therefore know reality).""",3,2,c,,,
95,23,"To what extent do you agree with the statement: ""If we had perfect measurements of the world around us, we could in theory know what was true (and therefore know reality).""",9,2,c,,,
48,0,"To what extent do you agree: ""My knowledge about the world is not the same as my beliefs about the world.""",5,2,b,,,
49,1,"To what extent do you agree: ""My knowledge about the world is not the same as my beliefs about the world.""",9,2,b,,,
50,2,"To what extent do you agree: ""My knowledge about the world is not the same as my beliefs about the world.""",10,2,b,,,
51,3,"To what extent do you agree: ""My knowledge about the world is not the same as my beliefs about the world.""",6,2,b,,,
52,4,"To what extent do you agree: ""My knowledge about the world is not the same as my beliefs about the world.""",6,2,b,,,
53,5,"To what extent do you agree: ""My knowledge about the world is not the same as my beliefs about the world.""",1,2,b,,,
54,6,"To what extent do you agree: ""My knowledge about the world is not the same as my beliefs about the world.""",8,2,b,,,
55,7,"To what extent do you agree: ""My knowledge about the world is not the same as my beliefs about the world.""",9,2,b,,,
56,8,"To what extent do you agree: ""My knowledge about the world is not the same as my beliefs about the world.""",7,2,b,,,
57,9,"To what extent do you agree: ""My knowledge about the world is not the same as my beliefs about the world.""",5,2,b,,,
58,10,"To what extent do you agree: ""My knowledge about the world is not the same as my beliefs about the world.""",3,2,b,,,
59,11,"To what extent do you agree: ""My knowledge about the world is not the same as my beliefs about the world.""",7,2,b,,,
60,12,"To what extent do you agree: ""My knowledge about the world is not the same as my beliefs about the world.""",9,2,b,,,
61,13,"To what extent do you agree: ""My knowledge about the world is not the same as my beliefs about the world.""",2,2,b,,,
62,14,"To what extent do you agree: ""My knowledge about the world is not the same as my beliefs about the world.""",7,2,b,,,
63,15,"To what extent do you agree: ""My knowledge about the world is not the same as my beliefs about the world.""",8,2,b,,,
64,16,"To what extent do you agree: ""My knowledge about the world is not the same as my beliefs about the world.""",9,2,b,,,
65,17,"To what extent do you agree: ""My knowledge about the world is not the same as my beliefs about the world.""",10,2,b,,,
66,18,"To what extent do you agree: ""My knowledge about the world is not the same as my beliefs about the world.""",7,2,b,,,
67,19,"To what extent do you agree: ""My knowledge about the world is not the same as my beliefs about the world.""",9,2,b,,,
68,20,"To what extent do you agree: ""My knowledge about the world is not the same as my beliefs about the world.""",5,2,b,,,
69,21,"To what extent do you agree: ""My knowledge about the world is not the same as my beliefs about the world.""",8,2,b,,,
70,22,"To what extent do you agree: ""My knowledge about the world is not the same as my beliefs about the world.""",10,2,b,,,
71,23,"To what extent do you agree: ""My knowledge about the world is not the same as my beliefs about the world.""",4,2,b,,,
24,0,"To what extent do you agree with the statement: ""Differences in opinion or perspective between people reflect a variety of different realities, all of which are true realities.""",10,1,a,,,
25,1,"To what extent do you agree with the statement: ""Differences in opinion or perspective between people reflect a variety of different realities, all of which are true realities.""",7,1,a,,,
26,2,"To what extent do you agree with the statement: ""Differences in opinion or perspective between people reflect a variety of different realities, all of which are true realities.""",10,1,a,,,
27,3,"To what extent do you agree with the statement: ""Differences in opinion or perspective between people reflect a variety of different realities, all of which are true realities.""",8,1,a,,,
28,4,"To what extent do you agree with the statement: ""Differences in opinion or perspective between people reflect a variety of different realities, all of which are true realities.""",3,1,a,,,
29,5,"To what extent do you agree with the statement: ""Differences in opinion or perspective between people reflect a variety of different realities, all of which are true realities.""",1,1,a,,,
30,6,"To what extent do you agree with the statement: ""Differences in opinion or perspective between people reflect a variety of different realities, all of which are true realities.""",10,1,a,,,
31,7,"To what extent do you agree with the statement: ""Differences in opinion or perspective between people reflect a variety of different realities, all of which are true realities.""",10,1,a,,,
32,8,"To what extent do you agree with the statement: ""Differences in opinion or perspective between people reflect a variety of different realities, all of which are true realities.""",1,1,a,,,
33,9,"To what extent do you agree with the statement: ""Differences in opinion or perspective between people reflect a variety of different realities, all of which are true realities.""",2,1,a,,,
34,10,"To what extent do you agree with the statement: ""Differences in opinion or perspective between people reflect a variety of different realities, all of which are true realities.""",8,1,a,,,
35,11,"To what extent do you agree with the statement: ""Differences in opinion or perspective between people reflect a variety of different realities, all of which are true realities.""",3,1,a,,,
36,12,"To what extent do you agree with the statement: ""Differences in opinion or perspective between people reflect a variety of different realities, all of which are true realities.""",8,1,a,,,
37,13,"To what extent do you agree with the statement: ""Differences in opinion or perspective between people reflect a variety of different realities, all of which are true realities.""",5,1,a,,,
38,14,"To what extent do you agree with the statement: ""Differences in opinion or perspective between people reflect a variety of different realities, all of which are true realities.""",8,1,a,,,
39,15,"To what extent do you agree with the statement: ""Differences in opinion or perspective between people reflect a variety of different realities, all of which are true realities.""",8,1,a,,,
40,16,"To what extent do you agree with the statement: ""Differences in opinion or perspective between people reflect a variety of different realities, all of which are true realities.""",6,1,a,,,
41,17,"To what extent do you agree with the statement: ""Differences in opinion or perspective between people reflect a variety of different realities, all of which are true realities.""",4,1,a,,,
42,18,"To what extent do you agree with the statement: ""Differences in opinion or perspective between people reflect a variety of different realities, all of which are true realities.""",10,1,a,,,
43,19,"To what extent do you agree with the statement: ""Differences in opinion or perspective between people reflect a variety of different realities, all of which are true realities.""",8,1,a,,,
44,20,"To what extent do you agree with the statement: ""Differences in opinion or perspective between people reflect a variety of different realities, all of which are true realities.""",9,1,a,,,
45,21,"To what extent do you agree with the statement: ""Differences in opinion or perspective between people reflect a variety of different realities, all of which are true realities.""",1,1,a,,,
46,22,"To what extent do you agree with the statement: ""Differences in opinion or perspective between people reflect a variety of different realities, all of which are true realities.""",3,1,a,,,
47,23,"To what extent do you agree with the statement: ""Differences in opinion or perspective between people reflect a variety of different realities, all of which are true realities.""",8,1,a,,,
